word,value,uniqueness
arite,41.733900000000006,5
irate,41.733900000000006,5
artie,41.7339,5
retia,41.7339,5
tarie,41.7339,5
terai,41.7339,5
erian,41.437400000000004,5
irena,41.437400000000004,5
reina,41.437400000000004,5
oater,41.3526,5
orate,41.3526,5
erato,41.352599999999995,5
aeron,41.0561,5
atren,40.843500000000006,5
antre,40.8435,5
arent,40.8435,5
retan,40.8435,5
terna,40.8435,5
entia,40.8074,5
teian,40.8074,5
tenai,40.8074,5
tenia,40.8074,5
tinea,40.8074,5
aries,40.518100000000004,5
arise,40.518100000000004,5
raise,40.518100000000004,5
serai,40.518100000000004,5
aesir,40.5181,5
oaten,40.426100000000005,5
atone,40.4261,5
ariel,40.2723,5
arose,40.1368,5
oreas,40.1368,5
seora,40.1368,5
irone,40.1043,5
noire,40.1043,5
norie,40.1043,5
rates,39.924200000000006,5
tares,39.924200000000006,5
treas,39.924200000000006,5
arest,39.9242,5
aster,39.9242,5
astre,39.9242,5
reast,39.9242,5
serta,39.9242,5
stare,39.9242,5
strae,39.9242,5
tarse,39.9242,5
tears,39.9242,5
teras,39.9242,5
resat,39.92419999999999,5
inert,39.8917,5
inter,39.8917,5
niter,39.8917,5
nitre,39.8917,5
retin,39.8917,5
trine,39.8917,5
leora,39.891,5
orale,39.891,5
saite,39.8881,5
taise,39.8881,5
alter,39.6784,5
artel,39.6784,5
later,39.6784,5
ratel,39.6784,5
taler,39.6784,5
alert,39.678399999999996,5
retal,39.678399999999996,5
telar,39.678399999999996,5
alite,39.642300000000006,5
aliet,39.6423,5
laeti,39.6423,5
telia,39.6423,5
earns,39.627700000000004,5
nares,39.627700000000004,5
nears,39.627700000000004,5
rasen,39.627700000000004,5
anser,39.6277,5
saner,39.6277,5
snare,39.6277,5
anise,39.5916,5
insea,39.5916,5
siena,39.5916,5
sinae,39.5916,5
noter,39.5104,5
notre,39.5104,5
tenor,39.5104,5
toner,39.5104,5
trone,39.5104,5
aotes,39.506800000000005,5
stoae,39.5068,5
tenio,39.4743,5
learn,39.3819,5
neral,39.3819,5
renal,39.3819,5
alien,39.345800000000004,5
aline,39.345800000000004,5
elain,39.345800000000004,5
