word,value,uniqueness,count
arite,41.733900000000006,5,0.0
irate,41.733900000000006,5,256072.0
artie,41.7339,5,391790.0
retia,41.7339,5,0.0
tarie,41.7339,5,0.0
terai,41.7339,5,72849.0
erian,41.4374,5,0.0
irena,41.4374,5,179540.0
reina,41.4374,5,1265881.0
oater,41.3526,5,0.0
orate,41.3526,5,25080.0
erato,41.3526,5,116636.0
aeron,41.0561,5,155041.0
atren,40.843500000000006,5,0.0
antre,40.8435,5,0.0
arent,40.8435,5,846105.0
retan,40.8435,5,0.0
terna,40.8435,5,17345.0
entia,40.8074,5,0.0
teian,40.8074,5,0.0
tenai,40.8074,5,0.0
tenia,40.8074,5,33152.0
tinea,40.8074,5,143689.0
aries,40.5181,5,1651320.0
arise,40.5181,5,8337093.0
raise,40.5181,5,21099943.0
serai,40.5181,5,35974.0
aesir,40.5181,5,33093.0
oaten,40.426100000000005,5,192579.0
atone,40.4261,5,152901.0
ariel,40.2723,5,2731662.0
arose,40.1368,5,2609029.0
oreas,40.1368,5,0.0
seora,40.1368,5,0.0
irone,40.1043,5,0.0
noire,40.1043,5,366191.0
norie,40.1043,5,19460.0
rates,39.924200000000006,5,137089538.0
tares,39.924200000000006,5,71332.0
treas,39.924200000000006,5,221867.0
arest,39.9242,5,0.0
aster,39.9242,5,718311.0
astre,39.9242,5,0.0
reast,39.9242,5,12992.0
serta,39.9242,5,185792.0
stare,39.9242,5,1925618.0
strae,39.9242,5,0.0
tarse,39.9242,5,0.0
tears,39.9242,5,9274206.0
teras,39.9242,5,21504.0
resat,39.92419999999999,5,0.0
inert,39.8917,5,935898.0
inter,39.8917,5,15269346.0
niter,39.8917,5,43607.0
nitre,39.8917,5,0.0
retin,39.8917,5,701007.0
trine,39.8917,5,297941.0
leora,39.891,5,75720.0
orale,39.891,5,365838.0
saite,39.8881,5,22797.0
taise,39.8881,5,0.0
alter,39.6784,5,7831337.0
artel,39.6784,5,29896.0
later,39.6784,5,84857974.0
ratel,39.6784,5,16306.0
taler,39.6784,5,42377.0
alert,39.6784,5,32472727.0
retal,39.6784,5,16174.0
telar,39.6784,5,0.0
alite,39.642300000000006,5,20736.0
aliet,39.6423,5,0.0
laeti,39.6423,5,0.0
telia,39.6423,5,233234.0
earns,39.6277,5,1661937.0
nares,39.6277,5,54047.0
nears,39.6277,5,573618.0
rasen,39.6277,5,98410.0
anser,39.6277,5,135651.0
saner,39.6277,5,84491.0
snare,39.6277,5,1311615.0
anise,39.5916,5,324336.0
insea,39.5916,5,0.0
siena,39.5916,5,1962358.0
sinae,39.5916,5,0.0
noter,39.5104,5,74828.0
notre,39.5104,5,5174371.0
tenor,39.5104,5,2361385.0
toner,39.5104,5,10508427.0
trone,39.5104,5,17745.0
aotes,39.506800000000005,5,0.0
stoae,39.5068,5,0.0
tenio,39.4743,5,0.0
learn,39.3819,5,179428286.0
neral,39.3819,5,15869.0
renal,39.3819,5,4494106.0
alien,39.3458,5,10490554.0
aline,39.3458,5,267309.0
elain,39.3458,5,17472.0
elian,39.3458,5,159178.0
laine,39.3458,5,437110.0
liane,39.3458,5,155704.0
linea,39.3458,5,623134.0
anile,39.3458,5,14401.0
acier,39.3218,5,45292.0
aeric,39.3218,5,0.0
areic,39.3218,5,0.0
ceria,39.3218,5,33549.0
craie,39.3218,5,0.0
erica,39.3218,5,2307054.0
atelo,39.261,5,0.0
atole,39.261,5,0.0
aeons,39.2103,5,92070.0
ireos,39.185,5,0.0
osier,39.185,5,53672.0
serio,39.185,5,169675.0
antes,38.9977,5,472677.0
etnas,38.9977,5,0.0
nates,38.9977,5,122231.0
neats,38.9977,5,0.0
stane,38.9977,5,45697.0
stean,38.9977,5,0.0
iters,38.9724,5,16701.0
reist,38.9724,5,19118.0
rites,38.9724,5,1388265.0
steri,38.9724,5,71216.0
stire,38.9724,5,0.0
tiers,38.9724,5,892403.0
tires,38.9724,5,8007166.0
tries,38.9724,5,8236889.0
resit,38.97239999999999,5,89180.0
alone,38.9645,5,39326417.0
anole,38.9645,5,39883.0
olena,38.9645,5,70928.0
ocrea,38.9405,5,0.0
oiler,38.9392,5,152495.0
oriel,38.9392,5,208095.0
reoil,38.9392,5,0.0
ental,38.751900000000006,5,77026.0
laten,38.751900000000006,5,64096.0
anlet,38.7519,5,0.0
leant,38.7519,5,101406.0
tenla,38.7519,5,0.0
carte,38.727900000000005,5,2722336.0
crate,38.727900000000005,5,2336818.0
creta,38.727900000000005,5,91322.0
recta,38.727900000000005,5,82905.0
caret,38.7279,5,284139.0
cater,38.7279,5,2092828.0
cerat,38.7279,5,0.0
creat,38.7279,5,354814.0
ecart,38.7279,5,13779.0
react,38.7279,5,4126376.0
trace,38.7279,5,11697252.0
liter,38.7266,5,2768775.0
litre,38.7266,5,2195204.0
relit,38.7266,5,0.0
tiler,38.7266,5,59950.0
caite,38.6918,5,0.0
reins,38.675900000000006,5,747535.0
risen,38.675900000000006,5,2619862.0
serin,38.675900000000006,5,38729.0
siren,38.675900000000006,5,1354779.0
resin,38.6759,5,4966700.0
rinse,38.6759,5,1885846.0
rotes,38.5911,5,30015.0
tores,38.5911,5,0.0
roset,38.5911,5,24878.0
rotse,38.5911,5,14400.0
soter,38.5911,5,51598.0
stero,38.5911,5,41138.0
store,38.5911,5,291308910.0
torse,38.5911,5,0.0
sotie,38.555,5,0.0
toise,38.555,5,0.0
arles,38.4626,5,495534.0
arsle,38.4626,5,0.0
earls,38.4626,5,649223.0
lares,38.4626,5,66326.0
laser,38.4626,5,34080740.0
lears,38.4626,5,14370.0
rales,38.4626,5,28903.0
reals,38.4626,5,774273.0
