wordles,irate,atone,sound,later,snare
cigar,4,4,4,3,4
rebut,5,4,5,4,4
sissy,4,4,4,4,5
humph,4,4,5,4,4
awake,4,5,4,4,5
blush,5,5,6,4,4
focal,5,4,5,4,5
evade,5,7,5,6,6
naval,4,4,4,5,4
serve,4,4,3,4,2
heath,3,4,3,4,5
dwarf,3,4,4,4,4
model,3,4,3,2,3
karma,4,4,4,4,3
stink,3,3,4,4,5
grade,2,4,4,3,3
quiet,3,4,3,3,3
bench,4,4,5,4,3
abate,5,4,4,4,6
feign,5,4,4,3,4
major,3,4,3,2,3
death,2,3,3,3,4
fresh,4,3,3,3,3
crust,4,4,4,4,4
stool,4,5,5,3,4
colon,3,3,4,4,3
abase,6,5,3,5,4
marry,4,6,4,5,6
react,3,4,5,4,4
batty,5,4,6,5,6
pride,5,4,4,5,5
floss,4,6,5,5,5
helix,6,5,5,4,4
croak,5,3,5,5,4
staff,2,3,4,3,3
paper,2,4,3,2,3
unfed,4,4,4,6,4
whelp,5,4,4,3,4
trawl,5,5,5,3,4
outdo,3,4,4,4,4
adobe,3,3,3,4,3
crazy,3,3,3,4,3
sower,8,8,5,7,5
repay,3,5,4,3,4
digit,5,4,3,4,3
crate,2,4,3,4,3
cluck,4,4,6,4,4
spike,6,4,6,5,4
mimic,5,5,5,4,3
pound,5,6,5,5,5
maxim,4,5,4,4,5
linen,5,4,4,5,4
unmet,5,5,3,4,3
flesh,4,4,4,4,3
booby,5,6,6,6,5
forth,4,4,4,3,4
first,2,3,3,2,2
stand,3,2,2,4,3
belly,4,4,5,5,5
ivory,2,3,5,3,4
seedy,4,4,4,5,5
print,2,3,3,3,3
yearn,3,3,4,3,3
drain,4,6,4,5,4
bribe,5,5,4,5,5
stout,4,6,4,6,5
panel,3,3,3,3,3
crass,6,5,5,6,3
flume,6,5,5,6,6
offal,4,3,4,4,4
agree,3,3,3,2,3
error,3,4,3,2,3
swirl,3,3,4,3,4
argue,2,4,3,4,3
bleed,4,4,4,4,3
delta,2,4,4,2,3
flick,4,4,4,4,3
totem,5,4,4,5,4
wooer,4,5,4,4,4
front,2,2,3,3,3
shrub,4,5,4,5,4
parry,4,7,6,4,7
biome,6,4,4,4,4
lapel,4,5,5,3,5
start,2,2,3,2,2
greet,3,5,4,4,4
goner,7,8,6,7,7
golem,4,5,4,3,4
lusty,3,3,6,4,3
loopy,4,6,6,4,4
round,3,4,3,3,3
audit,3,3,3,3,3
lying,3,4,4,3,4
gamma,5,5,4,4,5
labor,3,3,4,2,4
islet,4,4,3,4,3
civic,4,4,4,3,3
forge,4,5,4,6,6
corny,3,6,5,6,4
moult,4,5,3,4,3
basic,3,3,3,3,2
salad,3,3,3,3,3
agate,4,3,3,3,4
spicy,4,4,5,3,3
spray,4,4,4,4,4
essay,4,3,4,5,3
fjord,4,4,5,4,5
spend,4,3,3,4,4
kebab,5,5,5,4,5
guild,5,5,3,5,4
aback,4,4,4,3,4
motor,3,4,4,2,3
alone,4,2,3,4,3
hatch,7,7,8,7,8
hyper,4,4,5,6,4
thumb,4,4,4,4,4
dowry,5,4,4,5,5
ought,3,3,3,4,4
belch,5,5,5,4,6
dutch,3,3,3,3,3
pilot,4,3,4,4,3
tweed,5,3,4,5,4
comet,4,4,4,3,3
jaunt,7,5,6,7,6
enema,4,4,3,4,3
steed,5,6,3,5,5
abyss,4,5,4,5,4
growl,4,6,5,3,4
fling,5,5,6,5,5
dozen,4,3,3,4,4
boozy,6,7,6,5,6
erode,5,6,4,5,6
world,3,3,2,2,3
gouge,4,4,5,4,4
click,3,3,4,3,3
briar,3,4,4,4,4
great,2,2,3,2,3
altar,3,3,4,2,4
pulpy,4,4,6,4,4
blurt,3,3,4,3,3
coast,3,3,4,3,3
duchy,3,3,4,3,3
groin,3,4,5,3,4
fixer,6,5,6,6,6
group,3,3,3,3,3
rogue,5,3,3,6,5
badly,4,3,4,3,4
smart,3,4,4,3,3
pithy,4,4,4,4,4
gaudy,4,4,3,5,4
chill,6,4,5,4,5
heron,4,5,5,5,4
vodka,4,4,3,4,4
finer,4,6,6,6,8
surer,5,5,4,6,4
radio,3,4,3,3,3
rouge,4,3,4,5,4
perch,5,4,5,4,4
retch,4,4,5,3,4
wrote,2,4,3,4,3
clock,3,3,4,5,3
tilde,3,4,4,4,3
store,3,2,2,3,2
prove,3,4,3,3,3
bring,3,3,4,3,3
solve,3,3,3,4,4
cheat,3,3,4,4,4
grime,6,5,5,6,6
exult,5,5,3,4,3
usher,4,4,4,5,4
epoch,4,3,5,4,4
triad,3,5,4,4,4
break,3,4,3,3,4
rhino,4,3,3,3,3
viral,3,4,4,3,4
conic,3,5,5,3,5
masse,4,6,5,4,5
sonic,3,3,3,3,4
vital,3,3,4,3,3
trace,3,4,3,4,3
using,3,3,2,3,3
peach,4,5,5,4,5
champ,4,4,4,3,4
baton,3,3,3,4,5
brake,4,5,5,5,5
pluck,3,4,5,4,3
craze,7,5,6,8,6
gripe,3,5,4,3,3
weary,3,4,5,3,5
picky,5,5,4,4,5
acute,3,2,3,3,3
ferry,7,6,7,7,7
aside,4,5,3,4,3
tapir,3,3,4,3,4
troll,4,4,4,3,3
unify,4,4,4,3,3
rebus,5,4,4,5,4
boost,3,4,3,4,4
truss,6,3,4,3,3
siege,4,4,4,4,5
tiger,3,3,4,3,4
banal,4,5,4,5,5
slump,4,4,5,5,3
crank,4,3,5,4,5
gorge,6,6,5,8,8
query,3,4,3,4,3
drink,4,4,2,4,4
favor,4,5,5,3,5
abbey,5,5,4,5,5
tangy,8,4,5,4,4
