,wordles,irate,atone,sound,later,snare,,
0,cigar,4,4,4,3,4,,
1,rebut,5,4,5,4,4,,
2,sissy,4,4,4,4,5,,
3,humph,4,4,5,4,4,,
4,awake,4,5,4,4,5,,
5,blush,5,5,6,4,4,,
6,focal,5,4,5,4,5,,
7,evade,5,7,5,6,6,,
8,naval,4,4,4,5,4,,
9,serve,4,4,3,4,2,,
10,heath,3,4,3,4,5,,
11,dwarf,3,4,4,4,4,,
12,model,3,4,3,2,3,,
13,karma,4,4,4,4,3,,
14,stink,3,3,4,4,5,,
15,grade,2,4,4,3,3,,
16,quiet,3,4,3,3,3,,
17,bench,4,4,5,4,3,,
18,abate,5,4,4,4,6,,
19,feign,5,4,4,3,4,,
20,major,3,4,3,2,3,,
21,death,2,3,3,3,4,,
22,fresh,4,3,3,3,3,,
23,crust,4,4,4,4,4,,
24,stool,4,5,5,3,4,,
25,colon,3,3,4,4,3,,
26,abase,6,5,3,5,4,,
27,marry,4,6,4,5,6,,
28,react,3,4,5,4,4,,
29,batty,5,4,6,5,6,,
30,pride,5,4,4,5,5,,
31,floss,4,6,5,5,5,,
32,helix,6,5,5,4,4,,
33,croak,5,3,5,5,4,,
34,staff,2,3,4,3,3,,
35,paper,2,4,3,2,3,,
36,unfed,4,4,4,6,4,,
37,whelp,5,4,4,3,4,,
38,trawl,5,5,5,3,4,,
39,outdo,3,4,4,4,4,,
40,adobe,3,3,3,4,3,,
41,crazy,3,3,3,4,3,,
42,sower,8,8,5,7,5,,
43,repay,3,5,4,3,4,,
44,digit,5,4,3,4,3,,
45,crate,2,4,3,4,3,,
46,cluck,4,4,6,4,4,,
47,spike,6,4,6,5,4,,
48,mimic,5,5,5,4,3,,
49,pound,5,6,5,5,5,,
50,maxim,4,5,4,4,5,,
51,linen,5,4,4,5,4,,
52,unmet,5,5,3,4,3,,
53,flesh,4,4,4,4,3,,
54,booby,5,6,6,6,5,,
55,forth,4,4,4,3,4,,
56,first,2,3,3,2,2,,
57,stand,3,2,2,4,3,,
58,belly,4,4,5,5,5,,
59,ivory,2,3,5,3,4,,
60,seedy,4,4,4,5,5,,
61,print,2,3,3,3,3,,
62,yearn,3,3,4,3,3,,
63,drain,4,6,4,5,4,,
64,bribe,5,5,4,5,5,,
65,stout,4,6,4,6,5,,
66,panel,3,3,3,3,3,,
67,crass,6,5,5,6,3,,
68,flume,6,5,5,6,6,,
69,offal,4,3,4,4,4,,
70,agree,3,3,3,2,3,,
71,error,3,4,3,2,3,,
72,swirl,3,3,4,3,4,,
73,argue,2,4,3,4,3,,
74,bleed,4,4,4,4,3,,
75,delta,2,4,4,2,3,,
76,flick,4,4,4,4,3,,
77,totem,5,4,4,5,4,,
78,wooer,4,5,4,4,4,,
79,front,2,2,3,3,3,,
80,shrub,4,5,4,5,4,,
81,parry,4,7,6,4,7,,
82,biome,6,4,4,4,4,,
83,lapel,4,5,5,3,5,,
84,start,2,2,3,2,2,,
85,greet,3,5,4,4,4,,
86,goner,7,8,6,7,7,,
87,golem,4,5,4,3,4,,
88,lusty,3,3,6,4,3,,
89,loopy,4,6,6,4,4,,
90,round,3,4,3,3,3,,
91,audit,3,3,3,3,3,,
92,lying,3,4,4,3,4,,
93,gamma,5,5,4,4,5,,
94,labor,3,3,4,2,4,,
95,islet,4,4,3,4,3,,
96,civic,4,4,4,3,3,,
97,forge,4,5,4,6,6,,
98,corny,3,6,5,6,4,,
99,moult,4,5,3,4,3,,
100,basic,3,3,3,3,2,,
101,salad,3,3,3,3,3,,
102,agate,4,3,3,3,4,,
103,spicy,4,4,5,3,3,,
104,spray,4,4,4,4,4,,
105,essay,4,3,4,5,3,,
106,fjord,4,4,5,4,5,,
107,spend,4,3,3,4,4,,
108,kebab,5,5,5,4,5,,
109,guild,5,5,3,5,4,,
110,aback,4,4,4,3,4,,
111,motor,3,4,4,2,3,,
112,alone,4,2,3,4,3,,
113,hatch,7,7,8,7,8,,
114,hyper,4,4,5,6,4,,
115,thumb,4,4,4,4,4,,
116,dowry,5,4,4,5,5,,
117,ought,3,3,3,4,4,,
118,belch,5,5,5,4,6,,
119,dutch,3,3,3,3,3,,
120,pilot,4,3,4,4,3,,
121,tweed,5,3,4,5,4,,
122,comet,4,4,4,3,3,,
123,jaunt,7,5,6,7,6,,
124,enema,4,4,3,4,3,,
125,steed,5,6,3,5,5,,
126,abyss,4,5,4,5,4,,
127,growl,4,6,5,3,4,,
128,fling,5,5,6,5,5,,
129,dozen,4,3,3,4,4,,
130,boozy,6,7,6,5,6,,
131,erode,5,6,4,5,6,,
132,world,3,3,2,2,3,,
133,gouge,4,4,5,4,4,,
134,click,3,3,4,3,3,,
135,briar,3,4,4,4,4,,
136,great,2,2,3,2,3,,
137,altar,3,3,4,2,4,,
138,pulpy,4,4,6,4,4,,
139,blurt,3,3,4,3,3,,
140,coast,3,3,4,3,3,,
141,duchy,3,3,4,3,3,,
142,groin,3,4,5,3,4,,
143,fixer,6,5,6,6,6,,
144,group,3,3,3,3,3,,
145,rogue,5,3,3,6,5,,
146,badly,4,3,4,3,4,,
147,smart,3,4,4,3,3,,
148,pithy,4,4,4,4,4,,
149,gaudy,4,4,3,5,4,,
150,chill,6,4,5,4,5,,
151,heron,4,5,5,5,4,,
152,vodka,4,4,3,4,4,,
153,finer,4,6,6,6,8,,
