wordles,irate,atone,sound,later,snare
cigar,4,4,5,3,4
rebut,5,4,4,5,4
sissy,7,7,6,6,7
humph,5,5,5,5,5
awake,7,5,5,7,7
blush,4,5,5,4,4
focal,5,5,5,5,6
evade,6,4,4,7,4
naval,6,6,7,5,6
serve,6,6,5,5,5
heath,7,8,6,7,6
dwarf,5,4,4,6,4
model,5,5,4,4,5
karma,7,6,6,7,7
stink,5,3,4,5,5
grade,6,5,4,6,6
quiet,5,4,3,3,3
bench,4,4,4,4,4
abate,9,7,7,7,9
feign,5,4,4,4,5
major,5,5,5,5,5
death,4,5,4,4,3
fresh,3,3,4,4,4
crust,3,3,3,3,3
stool,4,5,6,3,4
colon,3,4,4,5,4
abase,8,4,4,4,4
marry,8,5,7,8,4
react,3,4,5,5,3
batty,6,6,6,6,6
pride,4,4,4,5,3
floss,6,6,5,6,7
helix,4,4,4,5,4
croak,4,4,5,4,4
staff,8,9,8,8,9
paper,8,8,7,7,7
unfed,5,5,5,5,6
whelp,4,4,4,4,5
trawl,4,4,3,3,3
outdo,4,4,4,5,5
adobe,4,5,3,4,4
crazy,5,5,5,5,5
sower,7,7,7,7,8
repay,6,5,5,5,5
digit,5,5,5,5,4
crate,3,3,3,4,4
cluck,4,4,4,4,4
spike,6,5,5,4,6
mimic,5,5,5,5,5
pound,3,4,3,3,4
maxim,5,6,6,5,6
linen,7,7,8,5,6
unmet,4,5,4,4,3
flesh,4,4,4,4,5
booby,7,8,6,6,7
forth,5,5,5,5,5
first,5,4,4,5,4
stand,3,2,3,4,3
belly,6,7,5,5,7
ivory,3,5,6,3,4
seedy,4,4,3,5,4
print,3,2,3,4,3
yearn,5,6,5,5,4
drain,3,4,4,4,4
bribe,6,6,8,7,6
stout,7,5,5,8,5
panel,4,5,5,3,5
crass,8,8,8,8,4
flume,6,7,4,4,7
offal,5,5,5,5,5
agree,5,4,3,4,4
error,4,3,4,4,4
swirl,5,4,5,4,4
argue,4,4,4,5,4
bleed,5,5,5,5,5
delta,5,4,4,3,4
flick,6,6,5,6,5
totem,4,4,4,5,5
wooer,9,5,9,9,9
front,4,4,5,5,5
shrub,5,5,6,5,5
parry,7,5,6,7,5
biome,4,3,4,4,3
lapel,7,5,4,5,6
start,9,6,9,8,8
greet,4,4,6,5,4
goner,7,7,8,6,7
golem,5,5,6,5,5
lusty,3,3,4,3,4
loopy,4,5,5,4,4
round,3,4,2,4,3
audit,4,3,3,4,3
lying,4,4,4,4,4
gamma,5,5,5,6,5
labor,4,4,4,2,4
islet,3,3,3,3,2
civic,5,5,5,4,4
forge,5,6,6,6,6
corny,4,4,3,4,4
moult,4,4,4,4,4
basic,4,4,4,4,4
salad,4,4,4,5,4
agate,8,6,6,6,8
spicy,5,4,4,4,5
spray,7,6,6,6,7
essay,4,5,5,6,5
fjord,4,4,5,4,5
spend,4,4,4,4,5
kebab,5,5,6,6,6
guild,4,4,3,4,4
aback,4,4,4,4,6
motor,5,6,5,3,4
alone,2,2,3,3,3
hatch,10,11,8,10,9
hyper,4,4,4,4,4
thumb,4,4,4,5,4
dowry,4,5,4,4,4
ought,4,4,5,4,4
belch,5,5,5,6,5
dutch,3,3,4,3,3
pilot,3,3,4,3,3
tweed,6,5,5,6,5
comet,4,4,4,3,3
jaunt,8,8,6,8,8
enema,5,3,4,4,3
steed,5,6,5,5,4
abyss,4,6,4,6,4
growl,5,5,5,6,6
fling,5,4,5,4,4
dozen,6,8,6,7,8
boozy,6,7,6,6,6
erode,5,5,4,5,5
world,4,4,4,3,4
gouge,6,7,7,6,6
click,7,7,5,7,5
briar,6,5,4,5,5
great,4,5,4,5,5
altar,3,4,3,2,3
pulpy,4,5,5,5,4
blurt,3,3,3,3,3
coast,3,4,4,3,2
duchy,3,3,5,3,3
groin,3,3,4,3,4
fixer,8,7,8,8,8
group,4,4,4,4,4
rogue,5,4,2,4,4
badly,5,5,4,5,5
smart,6,6,6,5,5
pithy,4,4,4,4,4
gaudy,4,4,4,4,4
chill,6,6,5,4,5
heron,4,4,3,4,4
vodka,4,5,5,5,5
finer,7,7,7,7,7
surer,6,4,4,5,5
radio,3,4,3,3,4
rouge,6,4,3,5,5
perch,4,4,4,4,4
retch,3,3,4,3,4
wrote,4,5,6,6,5
clock,6,6,6,6,6
tilde,4,3,3,4,3
store,3,2,3,3,3
prove,7,6,8,8,6
bring,4,4,5,4,5
solve,4,4,4,4,4
cheat,4,4,4,4,3
grime,5,5,5,5,4
exult,5,4,4,3,3
usher,4,4,4,3,4
epoch,3,4,4,3,3
triad,7,5,3,6,5
break,6,5,5,6,6
rhino,3,3,3,3,4
viral,4,5,4,4,4
conic,7,8,5,4,7
masse,6,6,7,6,6
sonic,3,3,4,3,3
vital,6,5,4,5,5
trace,2,3,3,3,3
using,4,3,3,4,4
peach,3,4,4,5,4
champ,4,4,4,4,4
baton,3,4,4,3,4
brake,8,7,6,7,7
pluck,3,4,4,4,3
craze,8,8,7,8,8
gripe,4,4,5,4,4
weary,6,5,5,6,6
picky,5,4,4,4,5
acute,3,3,3,4,4
ferry,8,6,7,8,6
aside,3,3,3,3,3
tapir,4,3,4,2,3
troll,6,6,4,3,3
unify,4,5,4,3,4
rebus,4,5,4,5,4
boost,6,6,6,6,6
truss,5,4,3,5,4
siege,5,5,4,5,5
tiger,6,6,6,5,5
banal,5,5,5,4,5
slump,3,4,4,4,3
crank,5,5,6,6,7
gorge,7,8,8,8,8
query,4,3,4,4,4
drink,4,4,3,4,5
favor,6,6,6,5,6
abbey,5,6,5,5,5
tangy,5,5,5,4,5
panic,5,5,4,4,5
solar,3,4,3,2,3
shire,4,4,5,4,4
proxy,5,5,4,4,4
point,4,2,3,3,3
robot,3,3,4,4,4
prick,6,5,6,6,6
wince,6,6,6,6,5
crimp,3,4,3,3,3
knoll,4,4,4,3,4
sugar,4,4,3,4,4
whack,4,4,4,4,4
mount,3,4,3,4,4
perky,5,5,6,6,6
could,3,3,4,4,3
wrung,4,4,4,4,5
light,4,4,4,4,4
those,3,3,4,4,3
moist,5,3,4,4,4
shard,4,4,4,4,4
pleat,5,5,4,4,4
aloft,5,5,5,5,5
skill,8,7,7,8,7
